SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,Section_ID,X,Y,Route_ID,Zone
ST ANDREWS DRIVE,70,U5501,M105,2,6.5,30,UU,ST ANDREWS DRIVE,1 Lewes,Seaford,23300902,4b,1440U5501_/0022,0,6,906,10
ST ANDREWS DRIVE,592,U5501,M105,2,6.5,30,UU,ST ANDREWS DRIVE,1 Lewes,Seaford,23300902,4b,1440U5501_/0030,0,6,393,10
St Andrews Lane,148,U5122,M105,2,6.5,30,UU,ST ANDREWS LANE,1 Lewes,Lewes,23300018,4b,1440U5122_/0110,0,1,318,7
St Annes Crescent (Part one way),331,U5117,M105,2,6.5,30,UU,ST ANNES CRESCENT,1 Lewes,Lewes,23301449,4b,1440U5117_/0010,0,1,38,7
St Anthonys,40,U5562,M105,2,6.5,60,RU,ST ANTHONYS,1 Lewes,Ringmer,23301149,4b,1440U5562_/0020,0,616,889,13
ST CRISPIANS (PART),38,U5505,M105,2,6.5,30,UU,ST CRISPIANS,1 Lewes,Seaford,23300773,4b,1440U5505_/0014,0,1,444,10
ST CRISPIANS (PART),38,U5505,M105,2,6.5,30,UU,ST CRISPIANS,1 Lewes,Seaford,23300773,4b,1440U5505_/0012,0,6,637,10
ST CRISPIANS (PART),43,U5505,M105,2,6.5,30,UU,ST CRISPIANS,1 Lewes,Seaford,23300773,4b,1440U5505_/0016,0,6,43,10
ST CRISPIANS (PART),278,U5505,M105,2,6.5,30,UU,ST CRISPIANS,1 Lewes,Seaford,23300773,4b,1440U5505_/0010,0,956,56,10
St James Street,83,U5121,M105,2,6.5,30,UU,ST JAMES STREET,1 Lewes,Lewes,23301052,4b,1440U5121_/0010,0,971,8,7
St John Street,135,U5151,M105,2,6.5,30,UU,ST JOHN STREET,1 Lewes,Lewes,23301014,4b,1440U5151_/0080,0,1,546,7
St John's Hill,92,U5151,M105,2,6.5,30,UU,ST JOHNS HILL,1 Lewes,Lewes,23301012,4b,1440U5151_/0040,0,1,945,7
St John's Terrace,123,U5151,M105,2,6.5,30,UU,ST JOHNS TERRACE,1 Lewes,Lewes,23301013,4b,1440U5151_/0050,0,1,942,7
ST LAURENCE CLOSE,38,U5923,M105,2,6.5,30,UU,ST LAURENCE CLOSE,1 Lewes,Telscombe,23301125,4b,1440U5923_/0030,0,1,528,8
ST LEONARDS CLOSE,190,U5778,M105,2,6.5,30,UU,ST LEONARDS CLOSE,1 Lewes,Newhaven,23301080,4b,1440U5778_/0035,0,1,915,9
ST LEONARDS ROAD,120,U5778,M105,2,6.5,30,UU,ST LEONARDS ROAD,1 Lewes,Newhaven,23301079,4b,1440U5778_/0032,0,6,123,9
ST MARGARETS DRIVE,131,U5501,M105,2,6.5,30,UU,ST MARGARETS RISE,1 Lewes,Seaford,23300901,4b,1440U5501_/0040,0,1,445,10
St Martins Crescent - St Martins Crescent,15,U5777,M105,2,6.5,30,UU,ST MARTINS CRESCENT,1 Lewes,South Heighton,23300177,4b,1440U5777_/0032,0,21,143,9
ST MARTINS CRESENT,133,U5777,M105,2,6.5,30,UU,ST MARTINS CRESCENT,1 Lewes,South Heighton,23300177,4b,1440U5777_/0030,0,541,836,9
St Mary's Garth,203,U7459,M105,2,6.5,60,RU,ST MARYS GARTH,3 Wealden,Buxted,42700136,4b,1440U7459_/0010,0,166,491,15
St Michaels Terrace,141,U5163,M105,2,6.5,30,UU,ST MICHAELS TERRACE,1 Lewes,Lewes,23301068,4b,1440U5163_/0010,0,371,941,7
St Nicholas Lane,179,U5157,M105,2,6.5,30,UU,ST NICHOLAS LANE,1 Lewes,Lewes,23300099,4b,1440U5157_/0010,0,6,962,7
