Section_ID,Chainage,_1000,_2000,_3000,_4000,SectionID,Direction,StartCh,EndCh,Length
Section,259.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,260.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,261.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,262.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,263.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,264.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,265.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,266.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,267.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,268.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,269.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,270.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,271.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,272.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,273.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,274.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,274.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,275.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,276.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,277.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,278.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,279.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,280.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,281.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,282.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,283.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,284.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,285.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,286.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,287.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,288.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,289.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,290.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,291.0,0,0,0,0,1440U5060_/0010,R,140,160,20
Section,292.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,293.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,294.0,0,0,0,17,1440U5060_/0010,R,140,160,20
Section,294.0,0,0,0,17,1440U5060_/0010,R,160,180,20
Section,295.0,0,0,0,17,1440U5060_/0010,R,160,180,20
Section,296.0,0,0,0,17,1440U5060_/0010,R,160,180,20
Section,297.0,0,0,0,17,1440U5060_/0010,R,160,180,20
Section,298.0,0,0,0,17,1440U5060_/0010,R,160,180,20
Section,299.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,300.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,301.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,302.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,303.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,304.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,305.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,306.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,307.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,308.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,309.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,310.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,311.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,312.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,313.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,314.0,0,0,0,0,1440U5060_/0010,R,160,180,20
Section,314.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,315.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,316.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,317.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,318.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,319.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,320.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,321.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,322.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,323.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,324.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,325.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,326.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,327.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,328.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,329.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,330.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,331.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,332.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,333.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,334.0,0,0,0,0,1440U5060_/0010,R,180,200,20
Section,334.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,335.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,336.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,337.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,338.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,339.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,340.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,341.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,342.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,343.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,344.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,345.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,346.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,347.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,348.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,349.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,350.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,351.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,352.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,353.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,354.0,0,0,0,0,1440U5060_/0010,R,200,220,20
Section,354.0,0,0,0,0,1440U5060_/0010,R,220,240,20
Section,355.0,0,0,0,0,1440U5060_/0010,R,220,240,20
Section,356.0,0,0,0,0,1440U5060_/0010,R,220,240,20
Section,357.0,0,0,0,0,1440U5060_/0010,R,220,240,20
Section,358.0,0,0,0,0,1440U5060_/0010,R,220,240,20
Section,359.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,360.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,361.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,362.0,0,0,7,7,1440U5060_/0010,R,220,240,20
